fid,feature_id,rdf_seealso,bag_id,street,number,addition,postal code,city,ufa_m2,building_height,construction_year,energy_label,Dataset_Functional use,Dataset_Floor area per functional use,dominant_use,parcel_m2,amenity_accessibility,monument_status,travel_education,land_use,sc_ufa,sc_height,sc_year,sc_energy,sc_dom_use,sc_parcel,sc_travel_edu,sc_amenity,sc_monument,sc_landuse,sc_policy,cr_layout,cr_technical,cr_typology,cr_edu_access,cr_amenities,cr_regulatory,cr_policy,suitability_total,lon,lat,neighbourhood,city_area
13,3507166,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100001001898,"0772100001001898",High Tech Campus,"42",,5656AE,Eindhoven,"6197","14","2007",A+++,"office, ",office: 6197,office,"1786","53",No,20.5095584386451,,1,1,1,1,0.8,1,0.2,0.53,1,0.6,,1,1,0.9,0.2,0.53,0.8,,0.8243,5.45963970212163,51.4141190301781,Wijk Oud-Gestel,Stadsdeel Gestel
14,3428447,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000287564,"0772100000287564",Strijpsestraat,"27",,5616GK,Eindhoven,"411","8","1923",,"retail, residential, ","residential: 209, retail: 202",residential,,"88",No,9.74305592750718,residential,0.2,1,0.2,0.5,1,0.5,1,0.88,1,1,,0.6,0.35,0.75,1,0.88,1,,0.70365,5.46068539661673,51.4385310899851,Wijk Oud-Strijp,Stadsdeel Strijp
15,11093766,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000285823,"0772100000285823",Strijpsestraat,"9",,5616GK,Eindhoven,"458","7","1929",,"retail, residential, ","residential: 68, retail: 390",retail,"400","89",No,9.67513466952101,,0.2,1,0.2,0.5,0.4,0.6,1,0.89,1,0.6,,0.6,0.35,0.5,1,0.89,0.8,,0.63255,5.4617508889467,51.4384847748752,Wijk Oud-Strijp,Stadsdeel Strijp
16,3427060,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000280055,"0772100000280055",Maria van Bourgondiëlaan,"1",,5616EB,Eindhoven,"1322","24","1968",G,"office, ",office: 1322,office,,"87",No,10.6156270232262,residential,1,1,0.6,0.2,0.8,0.5,0.6,0.87,1,1,,1,0.4,0.65,0.6,0.87,1,,0.7489,5.46504854848732,51.4341432316747,Wijk Rozenknopje,Stadsdeel Gestel
17,3430166,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000288742,"0772100000288742",Markt,"32",,5611EC,Eindhoven,"460","9","1921",,"retail, ",retail: 460,retail,"231","98",No,6.36122430701212,residential,0.2,1,0.2,0.5,0.4,0.2,1,0.98,1,1,,0.6,0.35,0.3,1,0.98,1,,0.66925,5.4777100194369,51.4397134146566,Wijk Centrum,Stadsdeel Centrum
18,3508842,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100001002093,"0772100001002093",Jan Luikenstraat,"49",,5615JL,Eindhoven,"2840","9","1952",,"educational, ",educational: 2840,educational,,"80",No,13.0537247948337,residential,1,1,0.2,0.5,0.6,0.5,0.6,0.8,1,1,,1,0.35,0.55,0.6,0.8,1,,0.72085,5.47312404789931,51.4279595197089,Wijk Rozenknopje,Stadsdeel Gestel
19,3480516,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000354548,"0772100000354548",Aalsterweg,"285",,5644RE,Eindhoven,"3787","4","2001",G,"educational, ",educational: 3787,educational,"3413","31",No,23.3288683171965,,1,0.6,1,0.2,0.6,1,0.2,0.31,1,0.6,,0.8,0.6,0.8,0.2,0.31,0.8,,0.6463,5.48645801944429,51.4073204898134,Wijk Kortonjo,Stadsdeel Stratum
20,3425903,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000282070,"0772100000282070",Hoogstraat,"12",,5611JR,Eindhoven,"513","11","1930",,"retail, residential, ","residential: 243, retail: 270",retail,"185","95",No,9.58658671430164,residential,0.6,1,0.2,0.5,0.4,0.2,1,0.95,1,1,,0.8,0.35,0.3,1,0.95,1,,0.70895,5.4725210035911,51.4351104768648,Wijk Centrum,Stadsdeel Centrum
21,3427729,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000284826,"0772100000284826",Markt,"18",,5611EB,Eindhoven,"1856","15","1956",C,"retail, ",retail: 1856,retail,"2310","98",No,8.14907705294131,residential,1,1,0.2,0.6,0.4,1,1,0.98,1,1,,1,0.4,0.7,1,0.98,1,,0.8036,5.47867319962359,51.4385346747359,Wijk Centrum,Stadsdeel Centrum
22,3426934,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000282202,"0772100000282202",Paradijslaan,"3",,5611KM,Eindhoven,"548","12","1933","C, A+","office, residential, ","residential: 122, office: 426",office,"285","99",No,8.9657065056884,residential,0.6,1,0.2,0.5,0.8,0.6,1,0.99,1,1,,0.8,0.35,0.7,1,0.99,1,,0.74855,5.47806771892352,51.4358843409089,Wijk Centrum,Stadsdeel Centrum
23,3425897,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000282582,"0772100000282582",Begijnenhof,"35",,5611EK,Eindhoven,"2125","14","1967",,"office, ",office: 2125,office,"770","97",No,9.5479696272471,residential,1,1,0.6,0.5,0.8,1,1,0.97,1,1,,1,0.55,0.9,1,0.97,1,,0.86315,5.4807704466772,51.4360944914893,Wijk Centrum,Stadsdeel Centrum
24,3424722,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000279783,"0772100000279783",Vestdijk,"145",,5611CB,Eindhoven,"455","8","1928",F,"office, residential, ","residential: 455, office: 308",residential,,"95",No,8.1519983398998,residential,0.2,1,0.2,0.2,1,0.5,1,0.95,1,1,,0.6,0.2,0.75,1,0.95,1,,0.6667,5.48644916636573,51.435515702243,Wijk Oud-Stratum,Stadsdeel Stratum
25,3436361,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000296285,"0772100000296285",Kennedyplein,"300",,5611ZV,Eindhoven,"17322","21","2002",A+,"office, ",office: 17322,office,,"80",No,4.03207011871186,,1,1,1,1,0.8,0.5,1,0.8,1,0.6,,1,1,0.65,1,0.8,0.8,,0.905,5.4813453713135,51.4440933983428,Wijk Centrum,Stadsdeel Centrum
26,3432758,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000291742,"0772100000291742",Tramstraat,"6",,5611CP,Eindhoven,"495","9","1939",C,"office, residential, ","residential: 495, office: 275",residential,"0","94",No,5.4296640793931,residential,0.2,1,0.2,0.6,1,0.2,1,0.94,1,1,,0.6,0.4,0.6,1,0.94,1,,0.708,5.48305591932673,51.4410706909192,Wijk Centrum,Stadsdeel Centrum
27,3442133,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000301502,"0772100000301502",De Lampendriessen,"30",,5612AH,Eindhoven,"1886","8","1957",,"educational, ",educational: 1886,educational,"1496","20",No,0.77313860895922,,1,1,0.2,0.5,0.6,1,1,0.2,1,0.6,,1,0.35,0.8,1,0.2,0.8,,0.69545,5.48639530303796,51.4490396298307,Wijk Centrum,Stadsdeel Centrum
28,3420665,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000273803,"0772100000273803",Dillenburgstraat,"18",,5652AP,Eindhoven,"1115","6","1994",,"industrial, office, ","office: 500, industrial: 515",industrial,"3083","55",No,19.7418729241487,,1,0.6,1,0.5,0.2,1,0.6,0.55,1,0.6,,0.8,0.75,0.6,0.6,0.55,0.8,,0.72895,5.43637783057184,51.4265624585783,Wijk Halve Maan,Stadsdeel Strijp
29,3417990,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000272503,"0772100000272503",Dillenburgstraat,"22",,5652AP,Eindhoven,"4200","8","1993",A,"industrial, office, ","office: 800, industrial: 3400",industrial,"5303","55",No,20.0801387123867,,1,1,1,1,0.2,1,0.2,0.55,1,0.6,,1,1,0.6,0.2,0.55,0.8,,0.7981,5.43545847782539,51.4264932558017,Wijk Halve Maan,Stadsdeel Strijp
30,3518306,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100001021291,"0772100001021291",Meerenakkerweg,"8",,5652AT,Eindhoven,"3679","8","2019",A,"industrial, office, ","office: 1839, industrial: 1840",industrial,"6800","51",No,18.0722320020817,,1,1,1,1,0.2,1,0.6,0.51,1,0.6,,1,1,0.6,0.6,0.51,0.8,,0.8377,5.44063970132206,51.4284020860844,Wijk Halve Maan,Stadsdeel Strijp
